CommunityName,ZoningScore,Zoning_norm,Summary
Antioch - Priest Lake,0.9204892966360856,0.2584825979321392,"Zoning: 0.26, Price: 0.26, Dev: 0.35, Driver: Dev_norm"
Bellevue,0.814404432132964,0.21093756061981578,"Zoning: 0.21, Price: 0.32, Dev: 0.17, Driver: Price_norm"
Bordeaux - Whites Creek - Haynes Trinity,1.2310536044362292,0.397671083220719,"Zoning: 0.4, Price: 0.08, Dev: 0.3, Driver: Zoning_norm"
Donelson - Hermitage - Old Hickory,1.040629095674967,0.31232676556861266,"Zoning: 0.31, Price: 0.19, Dev: 0.49, Driver: Dev_norm"
Downtown,2.575,1.0,"Zoning: 1.0, Price: 0.45, Dev: 0.52, Driver: Zoning_norm"
East Nashville,1.848575712143928,0.6744316917171665,"Zoning: 0.67, Price: 0.28, Dev: 0.66, Driver: Zoning_norm"
Green Hills - Midtown,1.5682888540031397,0.548812931766113,"Zoning: 0.55, Price: 0.56, Dev: 1.0, Driver: Dev_norm"
Joelton,0.34375,0.0,"Zoning: 0.0, Price: 0.12, Dev: 0.0, Driver: Price_norm"
Madison,0.9498432601880877,0.27163843593863873,"Zoning: 0.27, Price: 0.34, Dev: 0.21, Driver: Price_norm"
North Nashville,1.7073608617594256,0.6111421229173896,"Zoning: 0.61, Price: 0.31, Dev: 0.28, Driver: Zoning_norm"
Parkwood - Union Hill,0.8734177215189873,0.2373860936779775,"Zoning: 0.24, Price: 1.0, Dev: 0.16, Driver: Price_norm"
South Nashville,1.539877300613497,0.5360794624598305,"Zoning: 0.54, Price: 0.0, Dev: 0.31, Driver: Zoning_norm"
Southeast,0.9438700147710488,0.268961351157893,"Zoning: 0.27, Price: 0.27, Dev: 0.53, Driver: Dev_norm"
West Nashville,1.6407766990291262,0.5813004813575915,"Zoning: 0.58, Price: 0.39, Dev: 0.46, Driver: Zoning_norm"
